,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,208800,139268,65497,1722,4592,69,3811,2009
1,202814,132196,66877,2164,5484,87,4233,2010
2,201111,130262,67853,2308,5565,84,4265,2011
3,199955,130677,67072,2123,5985,94,4380,2012
4,199038,130712,66729,2268,5992,140,4238,2013
5,198492,130734,66351,2398,6640,122,4207,2014
6,198329,129766,66738,2263,7374,119,4230,2015
7,198508,128996,66948,1958,8123,89,4526,2016
8,198252,127689,66958,2007,9163,122,4665,2017
9,198314,127468,66164,1722,10316,107,4854,2018
10,198051,126795,66620,1795,10184,134,5575,2019
11,197375,126191,67064,2533,9972,126,6056,2020
12,191483,122298,66634,2752,9491,214,6187,2021
13,190273,122013,66130,3257,9570,198,6479,2022
