,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,63073,59679,2035,701,1444,20,819,2009
1,64455,60403,2222,766,1953,18,1053,2010
2,64562,60396,2321,790,2071,10,1086,2011
3,64592,60374,2355,793,2146,16,1048,2012
4,64811,60840,2340,869,2346,17,1087,2013
5,64840,60747,2321,1027,2416,63,1126,2014
6,64974,60668,2319,1031,2471,59,1180,2015
7,65103,60899,2314,806,2544,78,1191,2016
8,65563,61375,2373,776,2579,119,1211,2017
9,65936,61501,2470,839,2614,138,1251,2018
10,65917,61744,2496,664,2539,57,1268,2019
11,65945,61885,2559,658,2504,50,1280,2020
12,62933,59144,2383,712,2322,58,1246,2021
13,61276,57689,2310,716,2239,19,1231,2022
