,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,169243,105477,59420,1138,3127,107,6264,2009
1,164481,100021,58695,1188,3591,85,8645,2010
2,166298,100047,59838,1345,3765,95,9873,2011
3,167869,101514,59884,1296,4082,110,9891,2012
4,170246,103128,60339,1437,4336,247,9209,2013
5,171863,105774,60089,1435,4482,287,9525,2014
6,174483,108414,61491,1360,4458,264,9448,2015
7,175462,110483,61276,1019,4642,226,9192,2016
8,176291,110880,61053,1231,4930,218,9854,2017
9,177365,113179,60600,1276,5028,195,10870,2018
10,179690,115621,59154,1388,5512,177,11352,2019
11,181370,115975,59886,1626,5951,171,12598,2020
12,180353,115500,58993,1714,5633,180,13144,2021
13,181288,117437,58464,2178,5428,301,13718,2022
