,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,753572,514124,205320,6199,34067,463,34464,2009
1,770407,507917,227376,7134,36324,536,39111,2010
2,779573,511946,232474,7971,37000,358,41374,2011
3,790168,517756,236483,8566,38643,826,42993,2012
4,800594,522556,240946,9320,39689,1090,44812,2013
5,811943,527884,247093,9885,42438,1194,46260,2014
6,824663,534858,251389,10691,44332,1220,47007,2015
7,837038,540198,257645,10742,47837,1330,48331,2016
8,852144,544393,265096,11230,51282,1501,50707,2017
9,867628,547700,272234,12262,57161,1346,51551,2018
10,878553,546157,279330,11866,59257,1365,54201,2019
11,889079,549120,285503,10794,61628,1684,56165,2020
12,898143,552641,289878,11221,63126,1545,58541,2021
13,902449,552622,293582,12862,64513,1660,60228,2022
