,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,68482,20161,41485,475,1667,0,9683,2009
1,67073,19075,42044,619,1811,0,9716,2010
2,67236,18754,42530,642,1893,143,10086,2011
3,67414,19344,42685,610,2046,197,10414,2012
4,67653,18841,43794,915,2174,173,9428,2013
5,67962,17841,45023,936,1912,174,10004,2014
6,68221,16456,45949,712,1822,193,10340,2015
7,68217,16947,45637,598,1906,42,11102,2016
8,68671,15898,47097,626,1701,23,10549,2017
9,68035,15475,46126,796,1586,11,11254,2018
10,67896,14893,46094,873,1839,12,10982,2019
11,67623,15894,44447,1129,2031,142,11765,2020
12,72855,17072,47230,1262,2303,155,12621,2021
13,72817,15734,48276,1045,2013,168,12538,2022
