,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,170216,151720,6825,1945,10461,8,7169,2009
1,170515,150091,7442,2347,11591,16,8130,2010
2,172389,151384,8808,2290,11882,16,9278,2011
3,174503,152468,9180,2105,12794,98,10543,2012
4,176520,153278,10353,1820,13826,215,11109,2013
5,178945,155881,10912,1534,13563,228,11634,2014
6,181464,157441,11352,1383,14791,247,11431,2015
7,183775,159861,11152,1160,14787,277,11773,2016
8,186147,160600,11287,1375,15785,198,11321,2017
9,188687,161681,11012,1542,17227,163,12410,2018
10,191011,162131,11289,1658,18132,316,12754,2019
11,193412,163381,12089,2233,18567,364,13815,2020
12,195249,164235,12538,2043,18953,299,13568,2021
13,196676,164940,12452,2044,19808,349,13784,2022
