,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,213772,170519,7989,4102,16498,2082,47526,2009
1,220996,178880,8204,4421,17090,2644,50539,2010
2,223558,182993,8436,4336,17340,2465,52857,2011
3,226305,187320,8278,4312,17889,2634,54943,2012
4,228442,189205,8731,4655,18283,2919,57152,2013
5,231103,191395,8977,4775,18544,3010,57140,2014
6,234161,191348,8852,4453,19057,3014,58885,2015
7,237121,194872,9156,5297,19453,3168,59537,2016
8,239732,195335,9283,5776,20085,3424,60418,2017
9,242633,195220,9719,5599,20584,3360,59827,2018
10,246500,195639,10364,5750,21060,3380,60862,2019
11,250903,194957,11427,6093,23196,3813,60270,2020
12,259913,199104,12618,6041,24466,4167,60683,2021
13,265196,201152,13320,6294,25523,3977,62518,2022
