,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,208001,107562,86871,2289,6355,241,28140,2009
1,211977,105333,91424,2800,7164,273,32309,2010
2,211457,103648,91349,2933,7722,216,33533,2011
3,210967,102429,92182,3092,8106,211,33901,2012
4,210624,101688,92749,3216,8078,353,35137,2013
5,210461,101516,92862,3709,8457,355,36261,2014
6,210745,102121,93722,3707,8799,398,36705,2015
7,210291,104265,93021,3844,8314,414,37093,2016
8,209463,105032,92469,4397,8041,447,37213,2017
9,207778,105921,90934,4620,8014,234,38055,2018
10,206848,106258,89134,4108,7465,431,39649,2019
11,206357,104353,89837,3761,7925,622,40021,2020
12,211100,107165,90224,3596,8397,635,39580,2021
13,210992,104980,89534,3275,8934,700,41573,2022
