,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,594005,447746,52595,12514,88376,4875,35192,2009
1,595240,443568,53764,12498,95529,5477,36467,2010
2,603174,449893,54614,12897,99706,4687,37926,2011
3,612916,459117,56147,13145,101700,4714,37880,2012
4,624681,469454,55855,13482,105151,5436,40110,2013
5,637850,477548,57322,14338,109766,6235,40577,2014
6,653017,489430,59024,14247,113915,5933,42490,2015
7,668849,500982,60682,14649,117579,6129,43868,2016
8,688245,513062,63144,14313,124297,5767,44505,2017
9,708823,524788,63789,14507,133645,5257,46648,2018
10,724305,532241,66970,14059,140672,5199,48229,2019
11,741251,539389,66903,15219,150377,5357,52767,2020
12,726054,529699,63920,16377,148677,5221,52316,2021
13,734603,530132,64991,16788,153552,5498,54855,2022
