,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,309316,177872,117843,9187,9630,1551,18981,2009
1,312994,175670,120450,10392,9980,2020,27908,2010
2,316478,178764,122281,10314,10131,2284,29131,2011
3,319329,180558,124713,10781,10710,2280,30374,2012
4,322033,181527,126133,11126,10911,2497,32078,2013
5,324002,182918,126958,10739,11276,2340,33555,2014
6,324603,182738,127955,10472,11783,2381,34738,2015
7,325841,181410,131228,10682,12435,2020,35520,2016
8,332766,185244,133215,10578,13119,2114,37331,2017
9,332106,183077,134209,10231,13333,2319,37826,2018
10,332861,182013,135922,10239,13431,2374,38555,2019
11,334562,182266,137579,9828,13580,2411,40081,2020
12,333582,179423,137940,10689,13406,2503,40805,2021
13,335207,178061,139338,11489,13916,2732,41992,2022
