,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Year
0,118787,78439,16236,256,9319,70,26294,2009
1,120907,75833,17818,314,10112,58,28905,2010
2,121784,74330,18859,354,10537,73,29765,2011
3,122878,76466,19742,409,10168,80,31760,2012
4,123995,76644,19109,436,10165,79,32850,2013
5,125401,77820,18515,392,11419,51,33864,2014
6,126592,79200,20115,501,12079,52,32726,2015
7,127410,81871,21014,740,11514,58,33826,2016
8,128851,82786,20598,1001,12344,79,34160,2017
9,129026,84781,19267,1250,12571,51,33664,2018
10,129309,86384,20229,1315,12404,110,35233,2019
11,130057,86722,20382,1394,12653,143,35236,2020
12,134820,90169,20270,1662,12905,140,37474,2021
13,135413,83602,29255,1657,10740,270,40385,2022
